,帖子内容,发布时间
183,王安珍睿恩新*碎(20阙)文:王安珍丁香一束春光蕾。飞蝶侣，翩翩陶醉。似钗头，倩影盈怀。转苍台，艳如花蕊。杳伴酥姿伟伟。芳绪涌，笑颜娇媚。览莲红，莫记嫣然。免枯色，阑珊总对。词林正韵:晏殊体🎀睿恩新*暮文:王安珍春光万里烟波圃。飞紫雁，翩翩悠顾。似先前，倩影盈怀。转莲坪，恍如凌步。忆起娇羞楚楚。芳绪动，笑颜依妩。览芙蓉，莫眷痕芬。省枯叶，迷茫再赴。词林正韵:晏殊体🎀睿恩新*梦文:王安珍嫣然一束桃红垄，随彩蝶，依依微送。若良人，妩媚盈眸。绕烟巷，婉呈恩宠。杳对冰心动动。芳绪起，影儿如梦。绕楼头，莫眷踪铿。省凄意，离愁又弄。词林正韵:晏殊体🎀睿恩新*杳文:王安珍昙花一朵风春晓，依细露，翩翩灵巧。若伊人，妩媚倾心。绕朱阁，弄丛梅傲。仿佛莺歌闹闹。离绪送，蜜情频报。向阳关，怎奈途茫。似千里，凄凉总搅。词林正韵:晏殊体💖贺圣朝*醉文:王安珍赏花临圃葱茏地，香熏绕体。樱园蜂蝶阆坪欣，入眸红陶醉。钗头情意，凌波步域，约之何会？伊人痕迹恍先前，雅呈依然你。词林正韵:黄庭坚体🎀贺圣朝*春分文:王安珍鹅黄域婉斑斓稳，盈眸风韵。酥枝灵巧，稚芽依显，蝶邀花引。朱唇微点，春融欲至，醉人红粉。半描桃眼，乱抛梨靥，弄香心润。词林正韵:冯延巳体💖梦玉人引*蜜文:王安珍欲桃花妩，岭山阑，柳枝碧。玉树微葱，恍如江南春色。若点斑斓，似蕊妍茎络有芳迹。酥影频随，暗域芬严密。一帘愁绪，枯荣满，恨弄又如织。估程归期，奈何挡眸云黑。寻隐雁讯，篱前无消息。舞裙现伊，盈眸览媚，温馨遥得。词林正韵:李甲体🎀梦玉人引*久文:王安珍欣往游径，呈前迹，恍如旧。散尽桃红，落絮褶枝青秀。杏巷滩头，却韵翩，仿佛帘胭蔻。静待春风，伴阆园堤后。艳疆欢聚，一碧丛，酥韵也堪有。对月吟风，玉人温婉依旧。踪远影遥，未临茫回首。眷消失频还，笑靥妩，甚时同走？词林正韵:沈会宗体💖巫山一段云*柔文:王安珍橹荡江滨畔，人烟绕碧丘。款情依约也温柔，一页洞庭舟。迹满环堤岸，踪翩舞彩绸。幽幽寂寂凤凰楼，阁下见钗头。词林正韵:毛文锡体🎀巫山一段云*红妆文:王安珍橹荡江滨畔，人游绕碧杨。曲声依约也铿锵，笑语柳亭旁。迹满环溪岸，踪翩舞彩裳。亭亭玉立藕花庄，隔岭见秋香。词林正韵:毛文锡体🎀巫山一段云*茫茫文:王安珍妩媚眸前影，翩翩眉上踪。彩裙微抖舞春风，娇俏恍如蓉。艳靥俊颦途远，浅浅阳关粉面。溪桥莲步见红妆，亭畔若萧娘。词林正韵:唐昭宗体🎀巫山一段云*端阳文:王安珍火袅端阳粽，烟熏节日蒿。矮篱风雨枣香郊，寂亭幽夹萧。疏影未临烦恼，恍若芳踪围绕。家山万里蜀溪春，乡情眷又氤。词林正韵:唐昭宗体💖玉堂春*盈怀文:王安珍小桥流水，锦绣苍山峰媚。阆苑蓬莱，雅域秦淮。蝶圃花株，秀色青枝景。一袭芳踪步碧台。粉岸朱阑陶醉，沙洲凌步徘。彩袖朱裙，恍若红酥手。如似莲堤见凤钗。词林正韵:晏殊体🎀玉堂春*铿锵文:王安珍柳郊桃岛，一袭苍山峰妙。阆苑蓬莱，雅域芬芳。蝶圃花株，秀色青枝景。倩影芳踪步碧冈。粉岸朱阑陶醉，萧声金曲锵。雁舞莺歌，恍若倾心语。回首溪沙醉绿杨。词林正韵:晏殊体🎀玉堂春*仙葩文:王安珍柳塘莲巷，袅娜溪烟风爽。碧岭青园，锦舍仙葩。阆域轩渠，妩媚菖蒲径。一袭红妆醉彩霞。碧岸青潭游走，兰亭疏影嘉。蜜露芳株，畅览缤纷景，携手廊桥赏藕花。词林正韵:晏殊体🎀玉堂春*阑珊文:王安珍絮庐枯圃，百里春风烟树。碧岭青园，锦舍阑珊。阆域轩渠，妩媚萍花巷。一袭游人映粉莲。绿柳红花回首，兰亭蝴蝶翩。蜜露芳株，共览缤纷景，同越溪桥荡客船。词林正韵:晏殊体💖玉楼人*梦文:王安珍故峰回首同游洞。依约有，离人昔宠。盈怀倾意娇羞，疏影恨弄。柔情沁肺芳心动。似见颦，雅意依送。彩裙起舞温馨。款踪朦，恍共钗凤。词林正韵:无名氏体🎀玉楼人*颖文:王安珍柳亭回首同欣景。依约有，芳踪目顶。盈怀倾意温存，娇媚弄影。柔痕却共残英骋。瑟损神，絮满愁整。阆园叶落销魂。褶枝幽，暗绕山岭。词林正韵:无名氏体🎀玉楼人*妩文:王安珍昔时莲巷同游圃。疏影有，池塘艳处。羞颦盈目端装，媚芳踪，风彩若故。芙蓉又把鸳鸯妒。恍若娇，款迹依赴。玉人踏阆临亭，婉情融，缓迈凌步。词林正韵:无名氏体🎀玉楼人*又文:王安珍昔时莲巷曾携手。罗袖舞，池塘岸后。凌波微步翩跹，少芳踪，风彩似旧。芙蓉又把春心鬭。恍若娇，媚影微凑。玉人踏阆临堂，婉情融，缓启樱口。词林正韵:无名氏体王安珍巴以冲突厉害了超话主持人L王安珍666的微博视频,2023-10-30 21:42
184,伊朗称战争扩大将让以色列彻底毁灭世界震怒！网友爆料：德国人发起了“袭击”，而针对以色列的抗议游行也蔓延到了世界各地！你怎么看？以色列L电影拆台君的微博视频,2023-10-31 23:11
185,以色列大军继续集结，巴勒斯坦人前途渺茫以色列巴勒斯坦冲突L枯叶秋蝉的微博视频,2023-10-13 15:51
186,抖音上，有一个老哥拿着18万彩礼，全国到处吃喝玩乐，每天消费大概都在1一百到两百之间（前期没有备注不知道多少），目前已经128天了,2023-10-06 17:34
187,巴勒斯坦儿童向普京求救：“请求您制止这场残酷的种族战争”，视频中可以听到轰炸声和炮击声。巴裔美国男子42名亲属在加沙遇难L观察者网的微博视频,2023-10-31 19:54
188,请与以色列站在一起，反对恐怖主义。,2023-10-12 17:03
189,加沙市中心希法医院，小孩们……L笑圈少女的微博视频,2023-10-20 14:25
190,以色列军队进入约旦河西岸，滥杀无辜，老人，妇女，孩子，残疾人，罄竹难书巴以冲突L幽灵礼物的微博视频,2023-10-31 22:51
191,也门胡塞武装称向以色列发起打击最新消息：也门胡塞武装军事发言人叶海亚（如图）今天（10月31日）发表声明证实，“胡塞武装通过弹道导弹和无人机对以色列多个目标进行了大规模打击”。声明称，“这是对以色列目标的第三次打击，未来还将有更多的打击行动”。当地时间今天（10月31日）上午，以色列红海海滨城市埃拉特（如视频）响起防空警报。以色列军方随即宣布击落了一个“正在接近以色列的空中目标”。以色列军方今天（10月31日）还表示，“自本轮巴以冲突爆发以来，以军首次使用‘箭’式反导系统在红海区域拦截了一枚射向以色列的地对地导弹”。而据路透社援引以军知情人士消息报道称，“击落空中目标”和“拦截地对地导弹”并非同一起事件,2023-10-31 21:42
192,中方霸气回怼美方指责【美方指责中俄否决巴以决议中方当场予以回应：这个锅中国不背！】当地时间30日，在联合国安理会会议上，美国常驻联合国代表指责中俄否决美方提交的关于巴以局势的决议草案。对此，中国常驻联合国代表张军表示：“这是我今天听到的最没有道理的话。说白了，美国就是想让中国对今天在加沙出现的局面负责，这个‘锅’中国背不起。美国代表应该非常清楚中东局势如何发展到今天，清楚在这中间美国到底都做了什么。是美国先后否决了几十项安理会关于中东和巴以问题的决议草案，导致安理会在相关问题上难以有效作为。美国代表应该也清楚，中国及其他一些国家为什么投票反对美国上周提出的决议草案。这项决议草案完全忽视全世界特别是阿拉伯国家关于停火止战的强烈呼声，完全混淆是非，还将给局势进一步升级大开绿灯。对这样的草案，中国完全有理由投反对票！”（央视记者徐德智）L总台环球资讯的微博视频,2023-10-31 15:48
193,逗孩子逗着逗着就哭了，他是不是在想这样的日子什么时候才能结束呢刷到好多惨烈的视频，真的没有勇气发出来伊朗称战争扩大将让以色列彻底毁灭小黄鸭话军事L正义小黄鸭的微博视频,2023-10-31 19:46
194,中方霸气回怼美方指责【美方指责中俄否决巴以决议中方当场予以回应：这个锅中国不背！】当地时间30日，在联合国安理会会议上，美国常驻联合国代表指责中俄否决美方提交的关于巴以局势的决议草案。对此，中国常驻联合国代表张军表示：“这是我今天听到的最没有道理的话。说白了，美国就是想让中国对今天在加沙出现的局面负责，这个‘锅’中国背不起。美国代表应该非常清楚中东局势如何发展到今天，清楚在这中间美国到底都做了什么。是美国先后否决了几十项安理会关于中东和巴以问题的决议草案，导致安理会在相关问题上难以有效作为。美国代表应该也清楚，中国及其他一些国家为什么投票反对美国上周提出的决议草案。这项决议草案完全忽视全世界特别是阿拉伯国家关于停火止战的强烈呼声，完全混淆是非，还将给局势进一步升级大开绿灯。对这样的草案，中国完全有理由投反对票！”@总台环球资讯L总台环球资讯的微博视频,2023-10-31 16:56
195,巴勒斯坦巴以冲突以色列国防军士兵和其宣称的哈马斯战俘。有一段以军士兵向阵亡的巴勒斯坦抵抗人员遗体撒尿的镜头。L近卫T-34的微博视频,2023-10-31 19:36
196,老天爷既然让他来到这个世界，为什么不给他一个健全的身体🙏🙏🙏L观察国际的微博视频,2023-10-20 10:22
197,希望这个孩子能被救活🙏🙏🙏以色列拒绝联合国停火决议小黄鸭话军事L正义小黄鸭的微博视频,2023-10-31 19:42
198,俄乌局势新进展巴以冲突俄军突击队攻占斯波尔诺耶地区一处乌军阵地。俄军士兵冒着乌军反击炮火给一名幸存乌军伤兵进行紧急战地医疗救护L地球镜头Aa的微博视频,2023-10-31 14:46
199,今天本是这位巴勒斯坦小天使的生日，然而。。。罢了，还是祝你生日快乐L上帝之鹰_5zn的微博视频,2023-10-31 23:56
200,🔺生动展示刚来到中东的贫穷非法定居者是如何在🇮🇱军警支持下强占当地🇵🇸人房子的。🔺它们和这片土地没有任何关系。🔺理解了这一点，就能理解我大使在安理会说的“占领方”是什么意思。中方呼吁巴以冲突方立即实现人道休战加沙孕妇在无麻醉下接受剖腹产L包容万物恒河水的微博视频,2023-10-31 12:57
201,赵立坚赵立坚中方对巴以冲突双方实现停火表示欢迎巴以冲突L江逸川不负神明的微博视频,2023-10-10 19:51
202,加拿大在干什么？这是公开跳出来干涉中国内政，而且还是在中国的互联网上，实在是丧心病狂啊！我个人是多次去过藏区，也多次去过藏区的寄宿学校！藏区的寄宿学校和内地的寄宿学校没有本质区别，甚至有些地区的条件设施还高于内地农村城镇地区呢！藏区幅员辽阔，居民住宿的松散，大家离得远，假如不建设寄宿学校，在山上几户人，怎么可能建一所学校，如何让藏区的孩子们接受教育？寄宿学校的住宿条件和教学条件，在扶贫的几年中变化极大，提高极多，不少学校都有校车接送学生，方便孩子们的周末放学和上学，替家长们减轻了很大的负担！而且，很多藏区学校都是双语教学，既有藏语，也有普通话，地方上的文化和全国的发展相协调相同步，这是帮助藏区孩子们平衡发展，健康成长，全面提高，这是被当地老乡翘大拇指的！没有寄宿学校，多少住宿分散、偏僻的孩子们怎么去接受教育？加拿大是要剥夺这些孩子们的受教育的权利吗？然而，不懂装懂的加拿大，为了反华，故意混淆是非，故意造谣，故意大放厥词，故意破坏中华民族大家庭的团结，故意干涉中国内政，而且还是在中国互联网上进行，实在可恨，实在可憎，实在可恶！,2023-10-31 23:08
203,他出走大漠隐姓埋名28年，有他没人敢动中国他为国人安全，中华之崛起出走大漠，隐姓埋名28年，令中国保持核威慑的基础上领先世界！有他在，没人敢动中国！致敬民族脊梁于敏！L大风评点的微博视频,2023-10-21 18:56
204,【3名中国公民在巴以冲突中不幸遇难】外交部发言人称，目前已确认有3名中国公民在新一轮巴以冲突中不幸遇难，2人失联、数人受伤。我们对遇难者表示沉痛哀悼，向遇难者家属和伤者表示诚挚慰问。中国有关驻外外交机构正全力协调救治伤员，做好遇难者善后工作，敦促外方全力搜救失联人员，采取一切有效措施，保障中方人员和机构安全。三名中国公民在巴以冲突中遇难L中国长安网的微博视频,2023-10-12 17:26
205,哈马斯公布人质视频，三名女性斥责内塔尼亚胡：你想/杀/了我们（看点）以色列巴以冲突L钱局长本人的微博视频,2023-10-31 23:41
206,巴以冲突，美国支持以色列对加沙使用暴力，这是西方海盗民族在遇到被掠夺者反抗时的通常做法。但是，这种做法只有在对方毫无反抗能力时才能奏效。比如欧洲殖民者对美洲、澳洲、非洲……原住民的征服。因为有人数对比的差异，一旦对方具备了反抗能力，哪怕武器上存在代差，都会使殖民者的统治成本大大高于掠夺收益。这也是美国作为超级大国，却在越南、伊拉克、阿富汗……铩羽而归的原因。海盗民族作为次生文明，完全不能领会中华原生文明以德服人的天下观，在人类拥有大规模杀伤性武器的今天，他们解决争端的方式，只能将人类引向相互毁灭的深渊。在海盗民族主导的世界里，巴以冲突是没有解法的，人类避免自我毁灭的唯一希望，就是中华文明再度引领世界，这是中国的历史责任，我们没有任何推卸的理由。,2023-10-31 17:12
207,舵手军事中东和平新进展，中东人民都团结起来，还怕以色列继续猖狂！L舵手无畏的微博视频,2023-10-29 22:11
208,【美国电视主持人浓缩讲解：伊斯兰1400年历史】巴以冲突穆斯林的历史是血腥的，其内部也是如此。是1993年夏季由美国哈佛大学教授塞缪尔·P·亨廷顿在《文明冲突论》（英语：TheClashofCivilizations）的文章中的观点。L身为里中横的微博视频,2023-10-31 20:00
209,挑战3分钟用人话讲完巴以冲突的前世今生！巴以冲突热点新闻事件巴以冲突升级L李三金Alex看世界的微博视频,2023-10-12 10:03
210,姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经姨妈巾月经,2023-10-28 16:31
211,无论在乌克兰问题上，还是巴以冲突上，水爷的立场与发声都让人肃然起敬！🫡L呆湾呱呱叫的微博视频,2023-10-31 16:49
212,美军在叙多处基地遭伊拉克民兵武装袭击L王亶文的微博视频,2023-10-30 11:47
213,【梅新育：以色列-哈马斯战争之际重温旧作《现代恐怖主义和极端主义不是对“美国压迫”的反应》】微信公号“梅新育论衡”文章链接：O梅新育：现代恐怖主义和极端主义不是对“美国压迫”的反应；以色列-哈马斯战争持续，舆论风潮癫狂，肆无忌惮造谣捏造被某些人视为“正义”，当是之时，回顾六年前旧作。实事求是，站稳中国立场。某些自以为“有利”的做法，实际长期效果是在挖掘中华文明和中国官方意识形态的根基。议论的基础应当是了解。,2023-10-31 07:09
214,巨人最终之战要来了《进击的巨人》最终季完结篇（后篇）将于11月4日23点开播！时长85分钟！中字预计5号夜里出！出了资源会发评！懂赞！评附巨人前四季+漫画！,2023-10-28 19:46
215,巴以冲突的根源可以追溯到多个因素。首先，两个民族对同一块土地提出了排他性的主权要求，这是根本原因。具体来说，巴勒斯坦人和以色列人都有自己的历史和文化背景，以及对同一块土地的独特看法和要求。这种主权要求在历史上和现代都引发了激烈的争议和冲突。其次，历史上的殖民行为也是巴以冲突的一个重要根源。在巴勒斯坦地区，犹太人移民在19世纪末开始大量涌入，而在英国托管期间，英国实施了一系列政策，鼓励犹太人移民并对巴勒斯坦人进行压迫。这些政策导致了巴勒斯坦地区的土地被大量剥夺，许多巴勒斯坦人失去了自己的家园和生活来源。此外，大国干预也是巴以冲突的一个重要因素。在冷战期间，美国等西方国家支持以色列，以遏制阿拉伯国家的影响力。而在现代，美国对以色列的支持也是持续的，这导致了巴勒斯坦人在国际上的声音和地位相对较弱。最后，宗教和文化的差异也是巴以冲突的一个重要因素。巴勒斯坦人和以色列人都有自己的宗教和文化传统，这些传统在历史上的交汇和冲突也导致了双方之间的矛盾和仇恨。总之，巴以冲突是一个复杂的问题，其根源涉及到历史、政治、文化和宗教等多个方面。要解决这个问题，需要从多个角度出发，采取综合性的措施，包括通过对话和协商来达成双方都能接受的解决方案。,2023-10-30 14:14
216,加沙医生抢救一名腹中婴儿，婴儿的母亲刚被炸死孩子从出生就没了母亲，是个正常人，不会为母亲报仇？L斯图卡98的微博视频,2023-10-31 23:46
217,伊朗称战争扩大将让以色列彻底毁灭【伊朗：战争扩大将让以色列“彻底毁灭”】据伊朗新闻电视台网站10月30日报道，伊朗负责政治事务的副外长警告说，如果以色列在加沙地带针对巴勒斯坦抵抗力量发动的战争进一步扩大，将导致这个政权的“彻底毁灭”。L参考消息的微博视频,2023-10-31 17:45
218,以色列情报总部遭突袭！巴勒斯坦敢死队冲入以色列情报中心。现代战争真是超乎你的想象，不要以为弱者就没有反击的力量，当你有坚强的意志，有视死如归的决心时，战争形势会逆转的。（来源：twitter）,2023-10-28 19:56
219,投降主义的论调从来没变过!1、汪精卫：不惜一切代价抗日是危险的2、周佛海：我国无法战胜装备精良的日军3、丁默邨：战争对民国消耗极大，举国抗日不可行。,2023-10-11 13:33
220,以色列🇮🇱海豹突击队的女兵的最终结局：不久前还在镜头前跳舞，还是一条鲜活的生命...战争对于任何人来说都是残酷的，藐视生命是不会有好结果的～L大大大餅干丶的微博视频,2023-10-29 18:37
221,以色列自卫L伊朗驻华大使馆的微博视频,2023-10-27 23:06
222,巴以局势观察解读巴以冲突哈马斯称愿意与以方交换双方所有被扣押人员哈马斯为何在此时表态称愿意与以方交换双方所有被扣押人员？L李绍先观察的微博视频,2023-10-31 20:00
223,巴以局势观察解读巴以冲突美国官员称不支持巴以此时停火美国官员表态称不支持巴以此时停火背后有哪些考量？L李绍先观察的微博视频,2023-10-31 19:44
224,图一要表达的意思，可以用图二的台词来概括,2023-10-25 01:19
225,O今天是我的生日06月18日，来祝福我吧~,2023-06-18 02:48
226,站在世界人民对立面的战争贩子们～,2023-10-29 14:42
227,@联合国秘书长古特雷斯：“在我考虑辞职前，希望以色列归还联合国授予的土地！”L叶建勛的微博视频,2023-10-30 09:44
228,一个巴勒斯坦小女孩在袭击中受伤导致失明，这就是以色列要打击的“哈马斯”吗？巴以冲突L空天砺剑的微博视频,2023-10-31 09:14
229,在联合国会议上，巴勒斯坦代表带着哽咽的声音问道：“是我们的信仰不对，还是我们的肤色不对，抑或是我们的国籍出身不对？”拿着演讲稿的曼苏尔，双手不停地颤抖着，他愤怒而又无可奈何地说道：“我们在这里开会的同时，加沙的巴勒斯坦人却正在遭受空袭，他们的家人正在被杀害，医院正在瘫痪，居民区正在被摧毁，人们四处逃窜，却根本找不到安身之所。”他接着说道：“不管如何，孩子和平民都是无辜的，大家只有一个目的，那就是活下去！”衷心希望战争能够消失，人们能够安康，愿世界永远和平！,2023-10-31 09:39
230,彭博社：美国政府官员私下承认，中东危机已经颠覆了他们全球方针的关键原则——美国原本期望，长期动荡的中东地区，终于进入了一个不需要美国做出如此大承诺的时期，从而使华盛顿能够更多地关注来自中国的威胁。官员们表示，美国的向东转向可能会放缓。O网页链接,2023-10-29 11:18
231,【此刻，一起转发！祝贺神十七发射圆满成功】神舟十七号载人飞船与火箭成功分离，进入预定轨道，航天员乘组状态良好，发射取得圆满成功。接下来，期待神十六神十七航天员会师太空！点赞中国航天！神十七发射现场,2023-10-26 11:32
232,我发现他在椅子里睡着了，脑袋耷拉在一旁，脸上毫无血色，身体疲惫得像是散了架。我碰了碰他的肩膀，他苏醒得很慢，就好像从他所在的地方到我所在的地方有好长一段路。,2023-10-30 16:44
233,这位光着脚的小女孩本来露着微笑，但抬头的那一刻起的表情立马变了，应该是战争让她内心充满了恐惧巴勒斯坦以色列L南归孤夷的微博视频,2023-10-31 16:50
234,加沙被以色列切断通讯信号之后，一位老人尝试通过新闻媒体告知他的家人他还活着，他一直对镜头比划巴勒斯坦以色列L南归孤夷的微博视频,2023-10-30 23:30
235,10月12号，美国海军福特号航母(CVN-78)移动到塞浦路斯岛以西海域。在波斯湾部署的巴丹号两栖攻击舰(LHD-5)移动到波斯湾中部。美军将派第二艘航母支持以色列美国航母动态,2023-10-12 19:17
236,巴以边界以色列军事集结点变空！以军持续打击加沙北部，烈度空前！几乎每分钟都能听到数次剧烈炮击声以军对加沙地带的军事行动目前已经进入第二阶段。我们今天一路进入加沙地带边界发现，原本集结了大批坦克、装甲车的以色列边界地区军事集结点，现在已经变空了很多，以色列陆军部队已经进入到加沙地点作战，目前正在对加沙地带发起猛烈攻击，平均每分钟都能听到数次剧烈炮击声。有时候炮击声之剧烈，我们站的地方都能感受到地面的震动！以军扩大在加沙地带地面行动规模巴以局势观察以色列巴勒斯坦冲突L慧慧陈Miss的微博视频,2023-10-29 20:45
237,汪文斌转发L海浪8492721的微博视频,2023-10-31 16:48
238,5月29日北派实时（河蟹重发），北派明王全网独家揭秘，AI的Y谋，tian制时代，雇zhan时代。,2023-05-29 09:03
239,马斯克X公司估值已降至收购价一半以下【马斯克X公司估值已降至190亿美元，收购一年缩水55%】据《华尔街日报》(TheWallStreetJournal)见到的一份内部文件，X将基于45美元/股的价格向员工授予股票。这意味着X的估值比2022年10月马斯克以440亿美元收购该公司时的入手价低约55%，据知情人士称，马斯克的社交媒体公司X现在的估值已降至190亿美元。自从被收购以来，Twitter的大部分员工都被解雇或辞职。马斯克将公司改名为X，改变了部分内容规则，并损失了一半以上的广告收入。@五环短视频L五环短视频的微博视频,2023-10-31 16:23
240,将未知变为具象可感的技术，让幻想变为现实。虹虹带你领略现场级观影体验，直达神舟十七号腾飞一跃现场🚀，送心愿上太空，为你营造难忘瞬间。关注我，转发并在评论区写下你心中的最难忘瞬间，11.3日即可参与抽免费电视大奖。选购星辰之礼O网页链接焕新家中一平方，拥抱幸福每一天。免单航线第二站已起航，快戳评论区了解详情。,2023-10-27 17:36
